folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,id,Id,Record ID,identifier,"","","","","",""
Administrative,visit,Cross-Sectional Survey,visit,choices,"",vnum,"","","",""
Anthropometry,handedness,Which is your dominant hand?,"",choices,"",dominant_hand,"","","",""
Demographics/Education,education,What is the highest level of education you have completed?,"",choices,"",education,"","","",""
Demographics/Employment,income,What is your current income?,"",choices,"",income,"","","",""
Demographics,age,What is your date of birth?,"",numeric,years,"","","","",""
Demographics,ethnicity,What is your ethnicity?,"",choices,"",ethnicity,"","","",""
Demographics,orientation,Please describe your sexual orientation:,"",choices,"",sexual_orientation,"","","",""
Demographics,race,What is your race (select all that apply)?,"",choices,"",race,"","","",""
Demographics,sex,What is your sex?,"",choices,"",sex,"","","",""
Demographics,transgender,Are you transgender?,"",choices,"",transgender,"","","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_1,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was bothered by things that usually don't bother me.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_01bothered;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_10,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt fearful.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_10fearful;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_11,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, my sleep was restless.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_11restless;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_12,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I was happy.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_12happy;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_13,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I talked less than usual.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_13talkative;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_14,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt lonely.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_14lonely;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_15,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, people were unfriendly.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_15othfriendly;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_16,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I enjoyed life.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_16enjoyment;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_17,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I had crying spells.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_17crying;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_18,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt sad.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_18sad;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_19,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt that people dislike me.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_19othdislike;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_2,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt fearful.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_02appetite;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_20,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I could not get ""going"".","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_20getgoing;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_3,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt that I could not shake off the blues even with help from my family or friends.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_03blues;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_4,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I felt I was just as good as other people.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_04asgoodas;cesd,"","",""
General Health/Center for Epidemiologic Studies Depression Scale (CESD),cesd_5,"Center for Epidemiologic Studies Depression Scale: Over the past 2 weeks, I had trouble keeping my mind on what I was doing.","Item from the CESD Questionnaire. [Radloff, L. S. (1977)](https://doi.org/10.1177/014662167700100306)<br><br>[Search for all CESD Questionnaire variables within this dataset](https://sleepdata.org/datasets/answers/variables?search=cesd)",choices,"",cesd,cesd_05focus;cesd,"","",""
